Product,Tab Name,Data Visualization,Data Viz Calculation,Data Point,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type
DenialIQ,Claim Detail,Claim #,,InsuranceClaimID,InsuranceClaimID,claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,Claim Detail,DOB,,DateOfBirth,dob,patient,dob,Date,,,,,
DenialIQ,Claim Detail,Subscriber Name,Concat(SubscriberFirstName + SubscriberLastName),SubscriberFirstName,SubscriberFirstName,patient,SubscriberFirstName,VARCHAR,,,,,
DenialIQ,Claim Detail,Subscriber Name,Concat(SubscriberFirstName + SubscriberLastName),SubscriberLastName,SubscriberLastName,patient,SubscriberLastName,VARCHAR,,,,,
DenialIQ,Claim Detail,Subscriber ID,,,InsuranceClaimID,patient,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,Claim Detail,Practice/Location,If Practice IS NOT NULL ELSE Location,Practice,Practice,provider,Practice,VARCHAR,,,,,
DenialIQ,Claim Detail,Practice/Location,If Practice' S NOT NULL ELSE Location,Location,Location,provider,Location,VARCHAR,,,,,
DenialIQ,Claim Detail,Provider,,Provider,Provider,provider,Provider,VARCHAR,,,,,
DenialIQ,Claim Detail,NPI,,NationalProviderIdentifier,NationalProviderIdentifier,provider,NationalProviderIdentifier,VARCHAR,,,,,
DenialIQ,Claim Detail,Tax ID,,TaxID,TaxID,Provider,TaxID,INT,,,,,
DenialIQ,Claim Detail,Date of Service,,DateOfService,DateOfService,claims,DateOfService,date,,,,,
DenialIQ,Claim Detail,Received,,ChargeSubmittedDate,PostDate,transactions,PostDate,date,,,,,
DenialIQ,Claim Detail,Aging,"DATEDIFF(DAY, GETDATE(), ChargeSubmittedDate)",ChargeSubmittedDate,PostDate,transactions,PostDate,date,,,,,
DenialIQ,Claim Detail,Payment Date,,PostDate,PaymentPostDate,transactions,PaymentPostDate,date,,,,,
DenialIQ,Claim Detail,Deposit Created,,,DepositCreated,Transaction,DepositCreated,,,,,,
DenialIQ,Claim Detail,Payer,,Payer,Payer,payer,Payer,VARCHAR,,,,,
DenialIQ,Claim Detail,Remittance Method,,RemittanceMethod,RemittanceType,transactions,RemittanceType,VARCHAR,,,,,
DenialIQ,Claim Detail,Payment Method,,,PaymentType,transactions,PaymentType,VARCHAR,,,,,
DenialIQ,Claim Detail,Network,,,Network,Payer?,Network,VARCHAR,,,,,
DenialIQ,Claim Detail,Reason Code,,DenialReason,DenialReason,transactions,DenialReason,VARCHAR,,,,,
DenialIQ,Claim Detail,Insurance Bal. Due,WHERE PayerType = 'Insurance',Balance,Balance,transactions,Balance,"float(10,2)",,,,,
DenialIQ,Claim Detail,Insurance Bal. Due,,PayerType,PayerType,transactions,PayerType,VARCHAR,,,,,
DenialIQ,Claim Detail,Patient Bal. Due,WHERE PayerType = 'Patient',Balance,Balance,transactions,Balance,"float(10,2)",,,,,
DenialIQ,Claim Detail,Patient Bal. Due,,PayerType,PayerType,transactions,PayerType,VARCHAR,,,,,
DenialIQ,Claim Detail,Primary Ins.,WHERE PrimarySecondayTertiary = 'Primary',PrimarySecondayTertiary,PrimarySecondayTertiary,payer,PrimarySecondayTertiary,VARCHAR,,,,,
DenialIQ,Claim Detail,Primary Ins.,,Payer,Payer,payer,Payer,VARCHAR,,,,,
DenialIQ,Claim Detail,Secondary Ins.,WHERE PrimarySecondayTertiary = 'Secondary',PrimarySecondayTertiary,PrimarySecondayTertiary,payer,PrimarySecondayTertiary,VARCHAR,,,,,
DenialIQ,Claim Detail,Secondary Ins.,,Payer,Payer,payer,Payer,VARCHAR,,,,,
DenialIQ,Claim Detail,Tertiary Ins.,WHERE PrimarySecondayTertiary = 'Tertiary',PrimarySecondayTertiary,PrimarySecondayTertiary,payer,PrimarySecondayTertiary,VARCHAR,,,,,
DenialIQ,Claim Detail,Tertiary Ins.,,Payer,Payer,payer,Payer,VARCHAR,,,,,
DenialIQ,Claim Detail,DOS,,DateOfService,DateOfService,claims,DateOfService,date,,,,,
DenialIQ,Claim Detail,Proc. Code,,ProcedureCode,ProcedureCode,transactions,ProcedureCode,VARCHAR,,,,,
