Product,Tab Name,Data Visualization,Data Viz Calculation,Enterprise Data Dictionary Table,Enterprise Data Dictionary Field,Enterprise DD Data Type,Data Point Calculation,Data Teams Data Dictionary Table22,Data Team Data Dictionary Field,DD Data Type2,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.transactions,Charges,float,,dbo.factRevenueLineItems,RevenueAmount,"decimal(15,2)",PMS,HCHB,accounting.REVENUE_TRANSACTIONS,rt_amount,decimal(9)
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.claims,Denied,int,,dbo.factInvoices,isDenied,tinyint,PMS,HCHB,billing.INVOICES,i_ediclaimstatus,tinyint
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.transactions,Service Date,date,,dbo.factRevenueLineItems,ServiceDate,date,PMS,HCHB,billing.LINE_ITEMS,li_servicedate,date
InsightFlow,Denial Management,Total Denied Claims,COUNT(Claim ID) WHERE isRejected GROUP BY ServiceDateMonth,dbo.claims,Insurance Claim ID,int,,dbo.factInvoices,InvoiceID,int,PMS,HCHB,billing.INVOICES,i_id,int
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>,dbo.transactions,Charges,float,,dbo.factRevenueLineItems,RevenueAmount,"decimal(15,2)",PMS,HCHB,accounting.REVENUE_TRANSACTIONS,rt_amount,decimal(9)
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>,dbo.claims,Denied,int,,dbo.factInvoices,isDenied,tinyint,PMS,HCHB,billing.INVOICES,i_ediclaimstatus,tinyint
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>,dbo.transactions,Service Date,date,,dbo.factRevenueLineItems,ServiceDate,date,PMS,HCHB,billing.LINE_ITEMS,li_servicedate,date
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>,dbo.claims,Insurance Claim ID,int,,dbo.factInvoices,InvoiceID,int,PMS,HCHB,billing.INVOICES,i_id,int
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>,dbo.provider,Lob,varchar(400),,dbo.dimLocationHierarchy,Lob,varchar(400),PMS,HCHB,,,
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.transactions,Charges,float,,dbo.factRevenueLineItems,RevenueAmount,"decimal(15,2)",PMS,HCHB,accounting.REVENUE_TRANSACTIONS,rt_amount,decimal(9)
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.claims,Denied,int,,dbo.factInvoices,isDenied,tinyint,PMS,HCHB,billing.INVOICES,i_ediclaimstatus,tinyint
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.transactions,Service Date,date,,dbo.factRevenueLineItems,ServiceDate,date,PMS,HCHB,billing.LINE_ITEMS,li_servicedate,date
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.claims,Insurance Claim ID,int,,dbo.factInvoices,InvoiceID,int,PMS,HCHB,billing.INVOICES,i_id,int
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.provider,Segment,varchar(400),,dbo.dimLocationHierarchy,LobDescription,varchar(400),,,,,
