Product,Tab Name,Data Visualization,Data Viz Calculation,Enterprise Data Dictionary Table,Enterprise Data Dictionary Field,Enterprise DD Data Type,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.transactions,Charges,float,,dbo.factClaims,ClaimAmount,float,PMS,Ethizo,BillingCharges,ChargeAmount,float
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.claims,Denied,int,,dbo.factClaims,isDenied,tinyint,PMS,Ethizo,BillingCharges,ClaimStatus,tinyint
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.transactions,Service Date,date,,dbo.factBillingCharges,ServiceStartDate,date,PMS,Ethizo,BillingCharges,ChargeDOS,date
InsightFlow,Denial Management,Total Denied Claims,COUNT(Claim ID) WHERE isRejected GROUP BY ServiceDateMonth,dbo.claims,Insurance Claim ID,int,,dbo.factClaims,ClaimKey,bigint,PMS,Ethizo,dimClaim,Id,bigint
InsightFlow,Denial Management,Total Denied Claims (Operations),SUM(Charges) WHERE isRejected AND Operations = '<filter>' GROUP BY ServiceDateMonth,dbo.provider,Operations,varchar(100),,primarycare.dimProvider,DefaultProviderServiceSiteName,varchar(50),PMS,Ethizo,,,
InsightFlow,Denial Management,Total Denied Claims (Operations),SUM(Charges) WHERE isRejected AND Operations = '<filter>' GROUP BY ServiceDateMonth,dbo.transactions,Charges,float,,dbo.factClaims,ClaimAmount,float,PMS,Ethizo,BillingCharges,ChargeAmount,float
InsightFlow,Denial Management,Total Denied Claims (Operations),SUM(Charges) WHERE isRejected AND Operations = '<filter>' GROUP BY ServiceDateMonth,dbo.claims,Denied,int,,dbo.factClaims,isDenied,tinyint,PMS,Ethizo,BillingCharges,ClaimStatus,tinyint
InsightFlow,Denial Management,Total Denied Claims (Operations),SUM(Charges) WHERE isRejected AND Operations = '<filter>' GROUP BY ServiceDateMonth,dbo.transactions,Service Date,date,,dbo.factBillingCharges,ServiceStartDate,date,PMS,Ethizo,BillingCharges,ChargeDOS,date
InsightFlow,Denial Management,Total Denied Claims (Operations),SUM(Charges) WHERE isRejected AND Operations = '<filter>' GROUP BY ServiceDateMonth,dbo.claims,Insurance Claim ID,int,,dbo.factClaims,ClaimKey,bigint,PMS,Ethizo,dimClaim,Id,bigint
InsightFlow,Denial Management,Total Denied Claims (Location),SUM(Charges) WHERE isRejected AND Location = '<filter>' GROUP BY ServiceDateMonth,dbo.provider,Location,varchar(400),,primarycare.dimProvider,ProviderCity,varchar(100),PMS,Ethizo,,,
InsightFlow,Denial Management,Total Denied Claims (Location),SUM(Charges) WHERE isRejected AND Location = '<filter>' GROUP BY ServiceDateMonth,dbo.transactions,Charges,float,,dbo.factClaims,ClaimAmount,float,PMS,Ethizo,BillingCharges,ChargeAmount,float
InsightFlow,Denial Management,Total Denied Claims (Location),SUM(Charges) WHERE isRejected AND Location = '<filter>' GROUP BY ServiceDateMonth,dbo.claims,Denied,int,,dbo.factClaims,isDenied,tinyint,PMS,Ethizo,BillingCharges,ClaimStatus,tinyint
