Product,Tab Name,Data Visualization,Data Viz Calculation,Enterprise Data Dictionary Table,Enterprise Data Dictionary Field,Enterprise DD Data Type,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.transactions,Charges,float,,dbo.factBilling,TotalChargeAmount ,decimal,PMS,WSC,RECEIVABLES_CHARGES_DETAIL,GROSS_AMOUNT,decimal
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.claims,Denied,int,,dbo.dimDecline,DeclineReasonCode,string,PMS,WSC,"BILLING_DECLINE_REASON
",DECLINE_CODE,string
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.transactions,Service Date,date,,dbo.factBilling,ServiceDateKey,int,PMS,WSC,RECEIVABLES_CHARGES_DETAIL,CHARGE_SERVICE_DATE,string
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.claims,Insurance Claim ID,int,,dbo.factClaim, ClaimTrackingNumber      ,string,PMS,WSC,Staging.HBPBILLH,BillTrackingNumber,string
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected AND Lob = '<filter>'  GROUP BY ServiceDateMonth,dbo.transactions,Charges,float,,dbo.factBilling,TotalChargeAmount ,decimal,PMS,WSC,RECEIVABLES_CHARGES_DETAIL,GROSS_AMOUNT,decimal
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected AND Lob = '<filter>'  GROUP BY ServiceDateMonth,dbo.claims,Denied,int,,dbo.dimDecline,DeclineReasonCode,string,PMS,WSC,"BILLING_DECLINE_REASON
",DECLINE_CODE,string
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected AND Lob = '<filter>'  GROUP BY ServiceDateMonth,dbo.transactions,Service Date,date,,dbo.factBilling,ServiceDateKey,int,PMS,WSC,RECEIVABLES_CHARGES_DETAIL,CHARGE_SERVICE_DATE,string
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected AND Lob = '<filter>'  GROUP BY ServiceDateMonth,dbo.claims,Insurance Claim ID,int,,dbo.factClaim, ClaimTrackingNumber      ,string,PMS,WSC,Staging.HBPBILLH,BillTrackingNumber,string
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected AND Lob = '<filter>'  GROUP BY ServiceDateMonth,dbo.provider,Lob,varchar(400),,dbo.dimLocationHierarchy,Lob,varchar(400),PMS,WSC,n/a,n/a,n/a
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected AND Segment = '<filter>'  GROUP BY ServiceDateMonth,dbo.transactions,Charges,float,,dbo.factBilling,TotalChargeAmount ,decimal,PMS,WSC,RECEIVABLES_CHARGES_DETAIL,GROSS_AMOUNT,decimal
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected AND Segment = '<filter>'  GROUP BY ServiceDateMonth,dbo.claims,Denied,int,,dbo.dimDecline,DeclineReasonCode,string,PMS,WSC,"BILLING_DECLINE_REASON
",DECLINE_CODE,string
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected AND Segment = '<filter>'  GROUP BY ServiceDateMonth,dbo.transactions,Service Date,date,,dbo.factBilling,ServiceDateKey,int,PMS,WSC,RECEIVABLES_CHARGES_DETAIL,CHARGE_SERVICE_DATE,string
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected AND Segment = '<filter>'  GROUP BY ServiceDateMonth,dbo.claims,Insurance Claim ID,int,,dbo.factClaim, ClaimTrackingNumber      ,string,PMS,WSC,Staging.HBPBILLH,BillTrackingNumber,string
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected AND Segment = '<filter>'  GROUP BY ServiceDateMonth,dbo.provider,Segment,varchar(400),,dbo.dimLocationHierarchy,LobDescription,varchar(400),,,,,
InsightFlow,Denial Management,Total Denied Claims (Payer Type),SUM(Charges) WHERE isRejected AND Payer Type = '<filter>'  GROUP BY ServiceDateMonth,dbo.transactions,Charges,float,,dbo.factBilling,TotalChargeAmount ,decimal,PMS,WSC,RECEIVABLES_CHARGES_DETAIL,GROSS_AMOUNT,decimal
