Product,Tab Name,Data Visualization,Data Viz Calculation,Enterprise Data Dictionary Table,Enterprise Data Dictionary Field,Enterprise DD Data Type,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.transactions,Charges,float,,Charges,charge_amount,"Numeric (20,2)",PMS,WebPT,Charges,charge_amount,"Numeric (20,2)"
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.claims,Denied,int,,Billing Charges,status,String,PMS,WebPT,Billing Charges,status,String
InsightFlow,Denial Management,Total Denied Claims,SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,dbo.transactions,Service Date,date,,Transaction,visit_date,Date,PMS,WebPT,Transaction,visit_date,Date
InsightFlow,Denial Management,Total Denied Claims,COUNT(Claim ID) WHERE isRejected GROUP BY ServiceDateMonth,dbo.claims,Insurance Claim ID,int,,Billing Charges,charge_id,Integer,PMS,WebPT,Billing Charges,charge_id,Integer
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>',dbo.transactions,Charges,float,,Charges,charge_amount,"Numeric (20,2)",PMS,WebPT,Charges,charge_amount,"Numeric (20,2)"
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>',dbo.claims,Denied,int,,Billing Charges,status,String,PMS,WebPT,Billing Charges,status,String
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>',dbo.transactions,Service Date,date,,Transaction,visit_date,Date,PMS,WebPT,Transaction,visit_date,Date
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>',dbo.claims,Insurance Claim ID,int,,Billing Charges,charge_id,Integer,PMS,WebPT,Billing Charges,charge_id,Integer
InsightFlow,Denial Management,Total Denied Claims (Lob),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Lob = '<filter>',dbo.provider,Lob,varchar(400),,dbo.dimLocationHierarchy,Lob,varchar(400),,,,,
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.transactions,Charges,float,,Charges,charge_amount,"Numeric (20,2)",PMS,WebPT,Charges,charge_amount,"Numeric (20,2)"
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.claims,Denied,int,,Billing Charges,status,String,PMS,WebPT,Billing Charges,status,String
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.transactions,Service Date,date,,Transaction,visit_date,Date,PMS,WebPT,Transaction,visit_date,Date
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.claims,Insurance Claim ID,int,,Billing Charges,charge_id,Integer,PMS,WebPT,Billing Charges,charge_id,Integer
InsightFlow,Denial Management,Total Denied Claims (Segment),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Segment = '<filter>',dbo.provider,Segment,varchar(400),,dbo.dimLocationHierarchy,LobDescription,varchar(400),,,,,
InsightFlow,Denial Management,Total Denied Claims (Payer Type),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Payer Type = '<filter>',dbo.transactions,Charges,float,,Charges,charge_amount,"Numeric (20,2)",PMS,WebPT,Charges,charge_amount,"Numeric (20,2)"
InsightFlow,Denial Management,Total Denied Claims (Payer Type),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Payer Type = '<filter>',dbo.claims,Denied,int,,Billing Charges,status,String,PMS,WebPT,Billing Charges,status,String
InsightFlow,Denial Management,Total Denied Claims (Payer Type),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Payer Type = '<filter>',dbo.transactions,Service Date,date,,Transaction,visit_date,Date,PMS,WebPT,Transaction,visit_date,Date
InsightFlow,Denial Management,Total Denied Claims (Payer Type),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Payer Type = '<filter>',dbo.claims,Insurance Claim ID,int,,Billing Charges,charge_id,Integer,PMS,WebPT,Billing Charges,charge_id,Integer
InsightFlow,Denial Management,Total Denied Claims (Payer Type),SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Payer Type = '<filter>',dbo.payer,Payer Type,varchar(50),,Authorizations,payer_type,string,PMS,WebPT,Authorizations,payer_type,string
