Product,Tab Name,Data Visualization,Data Viz Calculation,Data Point,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month,"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth",Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month,"Denied Charges = SUM(Charges) WHERE Denied GROUP BY ServiceDateMonth
Denied Claims = COUNT(ClaimID) WHERE Denied GROUP BY ServiceDateMonth",Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month,"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth",Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month,"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth",Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month,"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth",Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month,"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth",Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Practice),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'",Practice,,trx_reports,POD,VARCHAR,PMS,WinOMS,exported_files,default office,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Practice),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'",Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Practice),"Denied Charges = SUM(Charges) WHERE Denied GROUP BY ServiceDateMonth WHERE Practice = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE Denied GROUP BY ServiceDateMonth WHERE Practice = '<filter>'",Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Practice),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'",Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Practice),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'",Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Practice),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'",Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Practice),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Practice = '<filter>'",Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Provider),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'",Provider,,trx_reports,Provider,VARCHAR,PMS,WinOMS,exported_files,default provider,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Provider),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'",Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Provider),"Denied Charges = SUM(Charges) WHERE Denied GROUP BY ServiceDateMonth WHERE Provider = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE Denied GROUP BY ServiceDateMonth WHERE Provider = '<filter>'",Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Provider),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'",Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Provider),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'",Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Provider),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'",Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Provider),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Provider = '<filter>'",Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Location),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'",Location,,trx_reports,Location,VARCHAR,PMS,WinOMS,exported_files,default office,string,,Example
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Location),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'",Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Location),"Denied Charges = SUM(Charges) WHERE Denied GROUP BY ServiceDateMonth WHERE Location = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE Denied GROUP BY ServiceDateMonth WHERE Location = '<filter>'",Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Location),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'",Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Location),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'",Insurance Claim ID,,,,,,,,,,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Location),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'",Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Total Denied Claims & Charges by Month (Location),"Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'
Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth WHERE Location = '<filter>'",Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Top Preventable Denials,SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc,Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Top Preventable Denials,SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc,Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Top Preventable Denials,SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc,Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Top Preventable Denials,SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc,Denial Reason,,,,,,,,,,,
InsightFlow,Denial Management,Top Preventable Denials,SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc,Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Top Preventable Denials,SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc,Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Top Preventable Denials (Practice),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Practice = '<filter>',Practice ,,trx_reports,POD,VARCHAR,PMS,WinOMS,exported_files,default office,string,,
InsightFlow,Denial Management,Top Preventable Denials (Practice),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Practice = '<filter>',Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
InsightFlow,Denial Management,Top Preventable Denials (Practice),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Practice = '<filter>',Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,Status,ENUM,PMS,WinOMS,exported_filed,,,,
InsightFlow,Denial Management,Top Preventable Denials (Practice),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Practice = '<filter>',Service Date,,trx_reports,DateOfService,DATE,PMS,WinOMS,exported_files,service date,string,,
InsightFlow,Denial Management,Top Preventable Denials (Practice),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Practice = '<filter>',Denial Reason,,,,,,,,,,,
InsightFlow,Denial Management,Top Preventable Denials (Practice),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Practice = '<filter>',Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,WinOMS,exported_files,amount,string,,
InsightFlow,Denial Management,Top Preventable Denials (Practice),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Practice = '<filter>',Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,WinOMS,exported_files,AccountingType,string,,
InsightFlow,Denial Management,Top Preventable Denials (Provider),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Provider = '<filter>',Provider,,trx_reports,Provider,VARCHAR,PMS,WinOMS,exported_files,default provider,string,,
InsightFlow,Denial Management,Top Preventable Denials (Provider),SUM(Charges) WHERE Denied AND in ServiceDates GROUP BY DenialReason ORDER BY Desc WHERE Provider = '<filter>',Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
