Tab Name,Data Visualization,Data Viz Calculation,Data Point,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type,,
Accounts Receivable,AR Aging,SUM(ARBalance) GROUP BY AgeBucket,AR Balance,(SUM(Charges) - SUM(Payments)) - SUM(Adjustments),...,,,,,,,,,
Accounts Receivable,AR Aging,SUM(ARBalance) GROUP BY AgeBucket,Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
Accounts Receivable,AR Aging,SUM(ARBalance) GROUP BY AgeBucket,Payments,"(SUM(TrxAmt WHEN TrxType = ""payments"") ",...,,,,,,,,,
Accounts Receivable,AR Aging,SUM(ARBalance) GROUP BY AgeBucket,Adjustments,"(SUM(TrxAmt WHEN TrxType = ""adjustments"") ",...,,,,,,,,,
Accounts Receivable,AR Aging,SUM(ARBalance) GROUP BY AgeBucket,Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,Dentrix,fullproclog,amt,string,,
Accounts Receivable,AR Aging,SUM(ARBalance) GROUP BY AgeBucket,Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,Dentrix,fullproclog,proclogclass,string,,
Accounts Receivable,AR Aging,SUM(ARBalance) GROUP BY AgeBucket,AgeBucket,WHEN (today - DateOfService) < 30 THEN '<30',...,,,,,,,,,
,,,, WHEN (today - DateOfService) < 61 THEN '31-60',,,,,,,,,,
,,,, WHEN (today - DateOfService) < 91 THEN '61-90',,,,,,,,,,
,,,,    ELSE '>90',,,,,,,,,,
Accounts Receivable,AR Aging,SUM(ARBalance) GROUP BY AgeBucket,Service Date,,trx_reports,DateOfService,DATE,PMS,Dentrix,fullproclog,createdate,string,,
Accounts Receivable,AR Trends Over Time,FOR EACH MONTH(Service Date) in last 12 months {,AR Balance As Of Month,(SUM(Charges) - SUM(Payments)) - SUM(Adjustments) WHERE Service Date IN MONTH(Service Date),...,,,,,,,,,
,,    SUM(ARBalanceAsOfMonth) GROUP BY AgeBucket,,,,,,,,,,,,
,, },,,,,,,,,,,,
Accounts Receivable,AR Trends Over Time,FOR EACH MONTH(Service Date) in last 12 months {,Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
,,    SUM(ARBalanceAsOfMonth) GROUP BY AgeBucket,,,,,,,,,,,,
,, },,,,,,,,,,,,
Accounts Receivable,AR Trends Over Time,FOR EACH MONTH(Service Date) in last 12 months {,Payments,"(SUM(TrxAmt WHEN TrxType = ""payments"") ",...,,,,,,,,,
,,    SUM(ARBalanceAsOfMonth) GROUP BY AgeBucket,,,,,,,,,,,,
,, },,,,,,,,,,,,
Accounts Receivable,AR Trends Over Time,FOR EACH MONTH(Service Date) in last 12 months {,Adjustments,"(SUM(TrxAmt WHEN TrxType = ""adjustments"") ",...,,,,,,,,,
,,    SUM(ARBalanceAsOfMonth) GROUP BY AgeBucket,,,,,,,,,,,,
,, },,,,,,,,,,,,
Accounts Receivable,AR Trends Over Time,FOR EACH MONTH(Service Date) in last 12 months {,Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,Dentrix,fullproclog,amt,string,,
,,    SUM(ARBalanceAsOfMonth) GROUP BY AgeBucket,,,,,,,,,,,,
,, },,,,,,,,,,,,
Accounts Receivable,AR Trends Over Time,FOR EACH MONTH(Service Date) in last 12 months {,Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,Dentrix,fullproclog,proclogclass,string,,
,,    SUM(ARBalanceAsOfMonth) GROUP BY AgeBucket,,,,,,,,,,,,
,, },,,,,,,,,,,,
Accounts Receivable,AR Trends Over Time,FOR EACH MONTH(Service Date) in last 12 months {,Service Date,,trx_reports,DateOfService,DATE,PMS,Dentrix,fullproclog,createdate,string,,
,,    SUM(ARBalanceAsOfMonth) GROUP BY AgeBucket,,,,,,,,,,,,
,, },,,,,,,,,,,,
Accounts Receivable,AR Trends Over Time,FOR EACH MONTH(Service Date) in last 12 months {,AgeBucket,    CASE,...,,,,,,,,,
,,    SUM(ARBalanceAsOfMonth) GROUP BY AgeBucket,,        WHEN (MONTHEND(DateOfService) - DateOfService) < 30 THEN '<30',,,,,,,,,,
,, },,        WHEN (MONTHEND(DateOfService) - DateOfService) < 61 THEN '31-60',,,,,,,,,,
,,,,        WHEN (MONTHEND(DateOfService) - DateOfService) < 91 THEN '61-90',,,,,,,,,,
,,,,        ELSE '>90',,,,,,,,,,
,,,,    END,,,,,,,,,,
Accounts Receivable,AR Balance By Specialty,(SUM(Adjusted Charge) - SUM(Payments)) GROUP BY Specialty,Adjusted Charges,(SUM(TrxAmt) WHERE TrxType == 'charges') - (SUM(TrxAmt) WHERE TrxType == 'adjustment'),...,,,,,,,,,
Accounts Receivable,AR Balance By Specialty,(SUM(Adjusted Charge) - SUM(Payments)) GROUP BY Specialty,Payments,"(SUM(TrxAmt WHEN TrxType = ""payments"") ",...,,,,,,,,,
Accounts Receivable,AR Balance By Specialty,(SUM(Adjusted Charge) - SUM(Payments)) GROUP BY Specialty,Transaction Amount,...,trx_reports,TrxAmt,DECIMAL,PMS,Dentrix,fullproclog,amt,string,,
Accounts Receivable,AR Balance By Specialty,(SUM(Adjusted Charge) - SUM(Payments)) GROUP BY Specialty,Transaction Type,...,trx_reports,TrxType,ENUM ,PMS,Dentrix,fullproclog,proclogclass,string,,
Accounts Receivable,AR Balance By Specialty,(SUM(Adjusted Charge) - SUM(Payments)) GROUP BY Specialty,Specialty,,,,,,,,,,,
Denial Management,Total Denied Claims & Charges by Month,Denied Charges = SUM(Charges) WHERE isRejected GROUP BY ServiceDateMonth,Charges,"(SUM(TrxAmt WHEN TrxType = ""charges"") ",...,,,,,,,,,
,,Denied Claims = COUNT(ClaimID) WHERE isRejected GROUP BY ServiceDateMonth,,,,,,,,,,,,
Denial Management,Total Denied Claims & Charges by Month,Denied Charges = SUM(Charges) WHERE Denied GROUP BY ServiceDateMonth,Denied,COUNT(InsuranceClaimID) WHERE Status  = 'denied',trx_reports,ClaimStatus,ENUM ,PMS,Dentrix,,,,,
,,Denied Claims = COUNT(ClaimID) WHERE Denied GROUP BY ServiceDateMonth,,,,,,,,,,,,
